2024-12-25 15:21:30 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2024-12-25 15:54:55 - error code: ETIMEDOUT - message: error while downloading data from API
2025-01-04 14:57:39 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 14:58:47 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:01:27 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:03:29 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:06:05 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:07:21 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:09:32 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:11:07 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:12:26 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:13:51 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:15:56 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:20:06 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:23:31 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:24:50 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:27:30 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:29:01 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:29:58 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:30:27 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 15:44:48 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 16:08:44 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 16:10:12 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 16:11:09 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 17:17:42 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 17:24:32 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 17:24:33 - error code: ECONNRESET - message: error while downloading data from API
2025-01-04 17:24:56 - error code: ECONNRESET - message: error while downloading data from API
2025-01-04 17:29:23 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 17:31:34 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 17:36:53 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 17:37:20 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 17:38:17 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 17:40:17 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 17:41:14 - error code: ENOENT - message: there is no output file existing, creating: output.txt
2025-01-04 17:46:24 - error code: ENOENT - message: there is no output file existing, creating: output.txt
